"Name","Location","Price","Currency","Rating"
"Al Qimah Apartments","Dammam",75,"SAR","5.0"
"Dorar Rabigh Hotel Apartments","Rabigh",143,"SAR","6.1"
"Dar Al Maamon Furnished Apartment","Jeddah",275,"SAR","8.1"
"Amyal Alras","Al Rass",212,"SAR","8.4"
"Lilas Taif","Taif",125,"SAR","7.1"
"Burj Marweat Alkhalil","Makkah",75,"SAR","6.9"
"TULAY PARK","Al Olayya, Al Khobar",195,"SAR","6.8"
"Mora Hotel","Al Hamra, Jeddah",250,"SAR","7.9"
"Karam Taibah Almasi","Central Madinah, Al Madinah",127,"SAR","5.9"
"Jewar Al Saqefah Hotel","Central Madinah, Al Madinah",200,"SAR","7.6"
"Masar Najd","Unayzah",200,"SAR","7.8"
"Shomookh Hotel","Al Madinah",111,"SAR","7.5"
"Shomookh Hotel","Al Madinah",111,"SAR","7.5"
"Roof Hotel Apartments","Riyadh",400,"SAR","8.1"
"Al Muhaidb Al Narges","Riyadh",250,"SAR","7.2"
"Auris Al Fanar ApartHotel","Al Hamra, Riyadh",245,"SAR","7.6"
"Swiss International Resort Unaizah Al Qassim","Unayzah",998,"SAR","8.5"
"Oasis Najran Hotel","Najran",245,"SAR","8.6"
"Fadet Talla Residentials","Buraydah",128,"SAR","7.1"
"Palms Lily Hotel Suites","Al Ahsa",140,"SAR","6.2"
"Al Hamra Palace By Warwick","Riyadh",370,"SAR","7.2"
"Tulip Jazan","Jazan",130,"SAR","6.4"
"Manarat Al Misk Hotel","Ajyad, Makkah",100,"SAR","6.9"
"Madeira Hotel Suites","Al Khobar",349,"SAR","8.1"
"Afraa Hotel","Makkah",151,"SAR","8.0"
"Holiday Villa Resort Yanbu","Yanbu",943,"SAR","7.6"
"Qasr Al Hamra ApartHotel Al Hamra Branch","Jeddah",144,"SAR","7.1"
"Jewar Al Saqefah Hotel","Central Madinah, Al Madinah",200,"SAR","7.6"
"Masar Najd","Unayzah",200,"SAR","7.8"
"Semat ApartHotel","Al Salamah, Jeddah",300,"SAR","8.3"
"Shomookh Hotel","Al Madinah",111,"SAR","7.5"
"Al Muhaidb Al Narges","Riyadh",250,"SAR","7.2"
"Swiss International Resort Unaizah Al Qassim","Unayzah",998,"SAR","8.5"
"Oasis Najran Hotel","Najran",245,"SAR","8.6"
"Palms Lily Hotel Suites","Al Ahsa",140,"SAR","6.2"
"Al Hamra Palace By Warwick","Riyadh",370,"SAR","7.2"
"Tulip Jazan","Jazan",130,"SAR","6.4"
"Manarat Al Misk Hotel","Ajyad, Makkah",100,"SAR","6.9"
"Madeira Hotel Suites","Al Khobar",349,"SAR","8.1"
"Holiday Villa Resort Yanbu","Yanbu",943,"SAR","7.6"
"Qasr Al Hamra ApartHotel Al Hamra Branch","Jeddah",144,"SAR","7.1"
"Al Aqeeq Madinah Hotel","Central Madinah, Al Madinah",285,"SAR","7.8"
"Karam Al Hejaz","Central Madinah, Al Madinah",105,"SAR","5.9"
"Loaloat Al Khobar","Al Khobar",189,"SAR","7.2"
"Mira Waterfront Hotel Jeddah","Jeddah",285,"SAR","6.4"
"Alfarhan Panda Alfayha","Riyadh",288,"SAR","8.0"
"Emerald Hotel","Jeddah",325,"SAR","8.5"
"Signature Al Khobar Hotel","Al Khobar",332,"SAR","7.1"
"Park Jizan Hotel","Jazan",300,"SAR","7.8"
"Khaleej ALez Furnished Units","Dammam",122,"SAR","6.8"
"Roof Hotel Apartments","Riyadh",400,"SAR","8.1"
"Danat Layalina Apparthotel","Al Namas",200,"SAR","7.6"
"Al Fairouz Resort","Al Hada",215,"SAR","7.7"
"Auris Al Fanar ApartHotel","Al Hamra, Riyadh",245,"SAR","7.6"
"Grand Star Al Saha Hotel","Jeddah",203,"SAR","7.3"
"Mar Al Diyafah","",210,"SAR","8.4"
"Jood At Taif residential units","Taif",120,"SAR","7.0"
"Rest Night Hotel Apartments Wadi Al Dawasir","Wadi Al Dawasir",252,"SAR","8.1"
"Royal Nights Chalet","Ad Darb",500,"SAR","5.2"
"Comfort Inn AL TAAWON FAMILY ONLY","Riyadh",171,"SAR","5.5"
"Seasons Park Hotel","Hera Street, Jeddah",330,"SAR","8.6"
"Samaa Eva Resort","Abha",250,"SAR","8.3"
"Nawazi Al Tawsea","Makkah",75,"SAR","5.4"
"Quetzal Aparthotel","Riyadh",383,"SAR","7.9"
"Dar Al Janoub Hotel Apartments","Jeddah",450,"SAR","8.6"
"TIME Dammam Residence","Dammam",238,"SAR","7.9"
"Armada Hotel Jazan","Jazan",234,"SAR","8.5"
"AlMuhaidb Residence Alkhafji","Al Khafji",239,"SAR","8.4"
"AlBaha Palace Furnished Apartment","Al Baha",221,"SAR","7.6"
"Holiday Plus Hotel Suites","Jeddah",404,"SAR","8.1"
"Radisson Blu Resort Jizan","Jazan",534,"SAR","7.6"
"Crown Tower Hotel","Al Jubail",257,"SAR","8.2"
"Al Denny Aparthotel","Jeddah",120,"SAR","7.0"
"Shataa Alula Apartment","Al Ula",350,"SAR","8.3"
"Najmat Manami Azizyya","Al Aziziyah, Riyadh",170,"SAR","7.1"
"Zowar International Hotel","Central Madinah, Al Madinah",159,"SAR","7.0"
"Al Farhan Hotel Suites","Al Jubail",141,"SAR","6.8"
"Hayah Al Waha Hotel","Central Madinah, Al Madinah",93,"SAR","5.9"
"Gacine Hotel","Al Madinah",235,"SAR","8.9"
"Dar Al Maamon Furnished Apartment","Jeddah",275,"SAR","8.1"
"Ramz Al Fakhamah","Taif",178,"SAR","8.6"
"Open ApartHotel","Dammam",171,"SAR","5.5"
"Elite Jeddah Hotel","Al Shatiea, Jeddah",295,"SAR","7.8"
"Shahad Hotel","Riyadh",162,"SAR","7.2"
"Arif Housing Units","Buraydah",270,"SAR","8.7"
"Burj Alhayah Hotel Suites Alfalah","Riyadh",220,"SAR","7.5"
"Burj Al Faris Hotel Apartments","Jeddah",196,"SAR","8.1"
"Kayan Al Taif Hotel","Taif",254,"SAR","8.5"
"Four Seasons Stars Aparthotel","Al Jubail",140,"SAR","8.2"
"New Suite","Riyadh",194,"SAR","7.4"
"Rosa Aparthotel","Buraydah",200,"SAR","6.1"
"Sanam Hotel Suites","Hafr Al Baten",180,"SAR","7.6"
"Aswar Hotel Suites","Al Olayya, Al Khobar",336,"SAR","8.5"
"Awaliv Suites","Taif",220,"SAR","7.6"
"Itlalat Solaf Aparthotel","",170,"SAR","8.5"
"Bronze Palace","Al Aqrabeyah, Al Khobar",450,"SAR","6.9"
"Yahalla Hotel Units","Hera Street, Jeddah",127,"SAR","7.0"
"Desert Rose","Hail",225,"SAR","7.5"
"Rouh Taiba Hotel","Al Madinah",108,"SAR","7.8"
"Mena Holiday Beach Resort Half Moon","Half Moon Bay",379,"SAR","6.6"
"Tulip Inn Riyadh","Riyadh",225,"SAR","6.2"
"Beautat Hotel","Abha",150,"SAR","7.0"
"Al Hamra Palace ApartHotel Al Sharafeyah","Jeddah",128,"SAR","6.9"
"Tobal Al Hamra Hotel Apartments","Jeddah",189,"SAR","7.6"
"AL manzil ALmutmeez","Jeddah",135,"SAR","7.2"
"Jory Red Sea Hotel","Jeddah",190,"SAR","8.1"
"Aswar Hotel Suites","Al Olayya, Al Khobar",336,"SAR","8.5"
"Qasr Al Thuraya Hotel Apartments","Al Salamah, Jeddah",243,"SAR","6.7"
"Ozone hotel","Al Hamra, Jeddah",207,"SAR","6.9"
"hosta hotel suites","Riyadh",380,"SAR","9.7"
"Sanam Hotel Suites","Hafr Al Baten",180,"SAR","7.6"
"Awaliv Suites","Taif",220,"SAR","7.6"
"Itlalat Solaf Aparthotel","",170,"SAR","8.5"
"Bronze Palace","Al Aqrabeyah, Al Khobar",450,"SAR","6.9"
"Golden Bujari Hotel Al Khamis","Khamis Mushayt",523,"SAR","8.0"
"Gloria Inn Riyadh","Riyadh",300,"SAR","8.0"
"Al Farhan Dumah Al Jandal","Dawmat al Jandal",152,"SAR","8.2"
"Areen Jeddah Suites Al Madina Road","",212,"SAR","7.3"
"Radiha Hotel Suites","",180,"SAR","7.3"
"Sendan Residence","Dammam",360,"SAR","8.3"
"Top Stars Hotel","",150,"SAR","8.8"
"Alfaw Plaza Hotel","Sharurah",220,"SAR","8.8"
"Jeddah Seasons Furnished Apartments","",200,"SAR","7.3"
"Al Denny Aparthotel","Jeddah",120,"SAR","7.0"
"Roof Hotel Apartments","Riyadh",400,"SAR","8.1"
"Shataa Alula Apartment","Al Ula",350,"SAR","8.3"
